project_id,role,name,link
placempus,Artist,Jonas Bienz,
placempus,Mentoring,Andrew Lowell,http://www.andrew-lowell-productions.com/site/bio/
placempus,Technical Advisor,Jeronimo Maggi,https://jeromaggi.wixsite.com/vfxreel
placempus,Production,The Animation Workshop,https://animationworkshop.via.dk/programs-and-courses/creative-simulation-technologies
boddyssey,Director,Jonas Bienz,
boddyssey,Music,Serafin Aebi,https://serafinaebli.ch/
boddyssey,Foleys,Dieter Hebben,http://www.dieterhebben.de/
boddyssey,Sound Design,Benjamin Lüthold,https://benjaminluethold.com/
boddyssey,Sound Design Assistance,"Sabine Burchard ",https://sabine-burchard.ch/
boddyssey,Sound Mix,Jeroen Visser,http://www.121234.net/
boddyssey,Mentoring,Maja Gehrig,https://www.gehrigtrick.ch/
boddyssey,Technical Advisor,"Patxi Aguirre ",
boddyssey,Technical Support,"Jean First ",
boddyssey,Executive Production,Gerd Gockell,https://www.hslu.ch/en/lucerne-university-of-applied-sciences-and-arts/about-us/people-finder/profile/?pid=598
boddyssey,Production,HSLU Design & Kunst / BA Animation,https://animation-luzern.ch/
